,Title
52713,"Effect of spreading coefficient on the distribution of light non-aqueous
"
51662,"Effects of initial saturation on properties modification and
"
2192,"Biofilm growth in porous media: Experiments, computational modeling at
"
40057,"Comment on ``Groundwater depletion in the Middle East from GRACE with
"
3469,"THE INTERNATIONAL PROJECTS INTRACOIN, HYDROCOIN AND INTRAVAL"
41400,"A multivariate copula-based framework for dealing with hazard scenarios
"
40349,"NORMATIVE AND POSITIVE ASPECTS OF INSTITUTIONAL ECONOMICS - THE
"
5090,"Uncertainties in climate change projections and regional downscaling in
"
41015,"A method for characterizing desiccation-induced consolidation and
"
52552,"Dependence of hydraulic and pneumatic characteristics of soils on a
"
9264,"Multi-site evaluation of hydrology component of SWAT in the coastal
"
8660,"Numerically modelling groundwater in an arid area with ANN-generated
"
59604,"Nitrous oxide emissions for early warning of biological nitrification
"
53110,"Preparation of ionic liquids/montmorillonite composites and its
"
1996,"An overview of black carbon deposition in High Asia glaciers and its
"
5109,Accurate LAI retrieval method based on PROBA/CHRIS data
1075,"Turbulence characteristics of flow region over a series of 2-D dune
"
9914,"Water balance analysis for the Tonle Sap Lake-floodplain system (vol 28,
"
38444,"A paradigm shift in understanding and quantifying the effects of forest
"
30617,"IMPLICATIONS AND ASSUMPTIONS IN USING THE TOTAL COUNTS AND CONVECTION
"
208,Immiscible two-phase fluid flows in deformable porous media
38034,"Physicochemical controls on adsorbed water film thickness in unsaturated
"
2306,The effect of wettability on capillary trapping in carbonates
3090,Stochastic modeling of suspended sediment load in alluvial rivers
41267,"Extraordinary sediment delivery and rapid geomorphic response following
"
53382,"Reconstruction of in-situ porosity and porewater compositions of
"
39652,"Assessing the impacts of fiscal reforms on investment in village-level
"
39391,"Relative magnitudes of sources of uncertainty in assessing climate
"
39297,"Physical dispersion and dilution of ballast water discharge in the St.
"
50929,"Estimation and upscaling of dual-permeability model parameters for the
"
50951,"A three-dimensional numerical model for linking community-wide vapour
"
9004,"Lowland river water quality: a new UK data resource for process and
"
38950,"Improving computational efficiency in global river models by
"
38575,"Delineation of recharge rate from a hybrid water table fluctuation
"
5148,"Improving arable land heterogeneity information in available land cover
"
52869,"LABORATORY AND MODEL SIMULATIONS OF A LNAPL SPILL IN A
"
4554,Putting the `vap' into evaporation
38005,"How much improvement can precipitation data fusion achieve with a
"
39080,An efficient method to estimate processing rates in streams
40993,"Gas bubble transport and emissions for shallow peat from a northern
"
41149,"Colloids and organic matter complexation control trace metal
"
7513,Modelling catchment hydrology within a GIS based SVAT-model framework
39832,Oceanic sources of continental precipitation
11444,"River basin sediment dynamics and interactions within the UK Land-Ocean
"
51864,"Magnetic resonance imaging of nonaqueous phase liquid during soil vapor
"
7238,"Precipitation ensembles conforming to natural variations derived from a
"
38166,"Evaluating the complementary relationship for estimating
"
8807,"Impact of artificial subsurface drainage on groundwater travel times and
"
39447,"Demonstration of a geostatistical approach to physically consistent
"
11362,"Nitrogen dynamics in two high elevation catchments during spring
"
8614,"Channel stability and sediment source assessment in streams draining a
"
1478,"A multiple-point statistics algorithm for 3D pore space reconstruction
"
40056,"Analytical solution for capture and catchment zones of a well located on
"
